Territorialidades,Taxa de Distorção Idade-Série no fundamental 2017,Taxa de Distorção Idade-Série no médio 2017,IDEB anos finais do ensino fundamental 2017,% de alunos do ensino fundamental em escolas com internet 2017,% de docentes do fundamental com formação adequada 2017,Rendimento médio no setor formal 2017,Transferência per capita do Bolsa Família 2017,Transferência per capita do Benefício de Prestação Continuada 2017,Taxa de mortalidade infantil 2017,% de nascidos vivos com pelo menos sete consultas de pré-natal 2017,% de nascidos vivos com baixo peso ao nascer 2017,Taxa bruta de mortalidade 2017,% de internações por doenças relacionadas ao saneamento ambiental inadequado 2017,% de internações por condições sensíveis à atenção primária 2017,% de analfabetos com 15 anos ou mais de idade no Cadastro Único 2017,% de extremamente pobres no Cadastro Único pós Bolsa Família 2017,% de pessoas inscritas no Cadastro Único que recebem Bolsa Família 2017,% de cobertura vegetal natural 2017,% da população urbana residente em domicílios ligados à rede de abastecimento de água 2017,% da população urbana residente em domicílios ligados à rede de esgotamento sanitário 2017,% de esgoto tratado 2017,% da população urbana atendida por serviços regulares de coleta de resíduos domiciliares 2017,População total 2017
Cidade Ocidental (GO),21,"28,7","4,5",100,"62,6","1188,15","95,67","109,1","4,55","65,48","7,92","4,07",0,"4,69",5,"13,3","68,18","54,58",100,"63,64",100,,66777
Cidelândia (MA),"26,5","34,4","3,6","68,19","32,1","1373,4","305,22","62,93","18,96","48,34","9,48","4,47","8,36","33,87","11,9","32,23","88,74","40,2","93,66",,,"99,77",14539
Cidreira (RS),"33,9","29,3",,100,"65,5","1161,28","53,48","163,57","4,98","68,16","13,43","11,76","0,28","19,77","5,35","26,88","63,9","37,62",100,"6,26",100,100,14710
Cipó (BA),"32,8","51,5","3,1","35,15","33,9","1129,04","286,5","171,19","23,57","67,68","8,42","5,69","1,97","27,64","13,19","79,85","86,71","29,09",100,,,,17739
Cipotânea (MG),"15,5","31,4","4,9","76,79","64,2","890,56","125,18","81,26","19,61","82,35","7,84","6,99","1,32","44,76","5,02","36,04","72,86","20,47",100,"99,94",0,"99,94",6868
Ciríaco (RS),"11,1","20,2","4,9","97,36","58,3","1176,13","25,8","65,05",0,"66,67","13,33","7,83","0,3","18,38","7,21","5,72","31,1","22,33",100,,,100,4983
Claraval (MG),"7,5","15,6",5,"83,83","76,4","1082,18","55,7","174,69",0,"63,64",,"3,09",0,0,"6,83","19,02","54,89","34,83","99,04","99,04",0,,4847
Claro dos Poções (MG),"8,9","35,9","4,7","79,63","71,5","811,91","223,71","112,21","25,97","81,82","12,99","6,27","0,45","14,9","7,62","46,05","71,89","40,84","94,74","35,52",100,,7819
Cláudia (MT),"8,7","32,6","4,6","63,58","51,3","1422,29","49,44","131,17","7,41","74,81","10,37","4,27","11,99","55,44","10,17","4,89","46,93","61,91",100,"86,58",100,100,11716
Cláudio (MG),"2,9","17,7","5,5",100,"70,6","1054,26","26,3","99,62","13,62","77,93","7,08","5,55","0,73","26,94","6,65","9,5","37,18","23,53","96,06","90,48",100,100,28287
Clementina (SP),"13,2","13,5","4,5",100,"88,5","2011,59","43,88","77,01",0,"88,79","4,67","6,06","0,22","15,51","6,01","19,32","38,2","2,74",100,100,100,100,8254
Clevelândia (PR),"17,5","25,6","4,1","98,04","62,3","1214,86","68,48","181,39","17,39","78,7","10,43","8,29","4,46","57,78","10,35","4,77","50,35","27,94",100,"84,98",100,"94,81",17250
Coaraci (BA),"37,2","45,4","3,4","96,4","39,7","985,63","241,71","986,77","26,32","47,74","6,02","10,83","3,93","25,37","18,56","49,4","75,5","59,26","95,53",,,,19022
Coari (AM),"29,8","49,7","3,7","45,12","33,5",1842,"237,31","137,09","18,12","40,94","6,94","4,02","2,55","33,91","10,78","32,41","89,35","95,51",,,,,84762
Cocal de Telha (PI),"30,2",50,4,100,"48,2","1215,14","338,4","67,61",0,"56,14","5,26","9,98","8,43","35,86","12,86","66,81","84,06","94,87","98,73",,,"86,46",4812
Cocal dos Alves (PI),"41,8","53,7","6,4","61,39",55,"703,29","332,09","31,89",0,"65,57","6,56","3,8","5,67",15,"17,64","52,06","77,37","84,22",,,,,6054
Cocal do Sul (SC),"10,9","18,9","5,5",100,"79,2","1654,67","24,59","29,43","14,85","63,37","4,95","5,84","0,41","19,45","5,83","24,65","41,17","45,41","98,82",,,100,16446
Cocalinho (MT),"4,9","36,6","3,6","97,16",75,"1385,74","56,97","155,35","16,67",75,5,"5,06","18,73","51,32","12,09","9,66","52,78","79,88","53,58",,,,5535
Cocal (PI),40,"51,6","4,3","72,8",51,"1106,35","256,2","166,21","14,35","64,35","6,7","6,15","7,19","27,73","19,12","38,57","82,49","93,58","62,83",,,,27338
Cocalzinho de Goiás (GO),"26,1","26,3","4,7",100,"58,7","1226,07","153,41","108,4","18,69","46,73","9,35","5,97","3,01","15,11","10,36","21,43","73,7","56,33",100,,,100,19583
Cocos (BA),"32,3",50,"3,8","77,84","24,8","1095,36","298,34","159,72","14,6","75,55","5,47","4,31","4,32","28,44","13,01","67,18","73,78","88,05",,,,,19498
Codajás (AM),"30,6","48,1","3,8","68,29","27,8","928,35","253,18","161,43","11,39","48,75","5,69","2,95","5,06","53,23","20,97","5,21","87,99","91,82","48,85",,,,27817
Codó (MA),"27,4","44,5","3,6","49,96","34,6","985,27","182,25","350,14","16,26","34,75","7,15","5,34","2,78","25,63","15,16","39,72","82,27","78,6","97,92","13,53",0,"96,45",120810
Coelho Neto (MA),"25,7","43,3","3,1","38,13","38,1","1065,49","202,22","214,2","20,65","63,87","7,48","5,44","5,71","29,38","19,2","46,03","84,07","91,75","9,46",,,,48756
Coimbra (MG),"12,1","20,8","4,8",100,"60,6","1009,86","80,51","152,72","13,33","82,67","9,33",9,"1,38","25,22","3,84","18,34","56,76","15,44","87,04",,,"99,55",7559
Coité do Nóia (AL),22,"43,3","4,1","79,75","40,2","1120,25","259,06","72,72","21,28","84,4","10,64","6,15","4,95","14,58","18,34","52,1","79,15","14,19","61,33",,,,10888
Coivaras (PI),"27,1",48,"4,4","60,84","64,4","930,82","285,56","29,36","41,67",50,"4,17","6,07","5,74","22,16","23,13","36,52","68,15","83,12","98,6",,,100,3953
Colares (PA),"28,3","45,2","3,5","51,28","48,6","1098,48","208,88","43,47","12,2","46,95","6,71","4,93","1,18","12,68","6,42","53,33","87,83","32,75",,,,,11759
Colatina (ES),"17,6","22,6","4,9","98,67","69,2","1275,03","25,07","104,08","12,94","68,43","8,15","6,34","1,38","16,67","7,72","5,71","40,54","13,43",100,"95,56","5,3",100,124525
Colíder (MT),"6,7","18,3","5,1","96,35","56,5","1327,67","41,12","188,81","20,62","82,27","9,07","5,67","0,84","31,71","12,65","14,46","41,86","22,65",100,53,100,100,32298
Colinas do Sul (GO),14,"23,9","5,3",100,"36,8","1457,4","208,03","88,78","20,41","77,55","8,16","6,23","8,53","20,05","10,28","27,71","79,77","77,33",,,,"98,85",3529
Colinas do Tocantins (TO),"15,9","26,1","4,6",100,"57,3","1154,39","55,94","301,79","14,93","60,2","9,29","6,46","4,14","30,72","9,47","9,08","48,8","25,28",100,"57,17",100,100,34839
Colinas (MA),"17,6","30,4","3,3","27,38","15,1","965,29","302,39","107,2","7,46","40,9","4,18","4,88","9,19","37,15","15,8","72,73","88,81","77,72","64,47",,,,40575
Colina (SP),"6,5","17,8","4,3","85,32","71,3","1395,53","42,84","148,21","8,1","88,26","10,93","8,43","2,16","19,27","6,91","36,34","57,21","11,25","99,64","99,64",100,100,18376
Colinas (RS),"18,9","18,8","4,9",100,"60,5","1219,42","10,43","16,12",0,90,"6,67",12,"2,05","10,36","6,77","16,58","41,18","44,83",100,,,100,2499
Colméia (TO),"16,8","15,7","4,6",100,"51,1","1010,01","109,46","369,51",0,"68,27","7,69","6,42","2,37","28,21","11,66","24,81","61,26","49,69",100,,,100,8409
Colniza (MT),"6,7","33,1","4,5","82,42","35,7","1159,24","98,23","79,33","9,24","76,21","6,93","2,71","4,07","14,44","10,63","30,91","71,18","84,95","52,57",,,,36161
Colômbia (SP),"14,2","14,1","5,1",100,"77,7","1208,09","78,8","151,43","11,76","65,88","11,76","8,03","0,23","15,46","9,66","22,64","39,52","20,14",100,100,100,,6225
Colombo (PR),"21,3","35,4","4,3","97,05","80,7","1458,97","38,6","95,08","12,45","80,57","8,55","5,29","0,53","17,69","7,85","22,77","49,41","41,11",100,"70,23",100,100,237402
Colônia do Gurguéia (PI),"23,6","34,6","3,5","81,8","24,7","1021,15","345,88","53,98","12,35","69,14","6,17","5,65","5,65","24,21","12,77","36,07","79,19","90,02","50,63",,,"78,13",6372
Colônia do Piauí (PI),"18,3","42,9","3,9","72,18","35,7","1061,79","294,98","8,86","9,8","61,76","4,9","4,91","2,21","38,82","13,21","43,45","80,26","88,84","98,88",,,100,7536
Colônia Leopoldina (AL),"30,4","47,1","3,8","88,59","29,7","854,73","236,2","162,08","16,46","39,92","8,23","5,97","0,39","19,62","22,47","67,49","88,23","27,28","69,09",,,,21926
Colorado do Oeste (RO),"12,3","18,6",5,100,"63,8","1070,35","20,44","170,99","20,58","83,13","4,94","4,6","7,86","34,49","10,06","4,24","37,19","21,39",100,,,100,18467
Colorado (PR),"15,3","23,3","4,6",100,"77,6","1421,48","16,04","118,68","24,48","76,22","8,74","6,93","4,67","27,89","6,53","9,61","32,01","3,33","98,5","78,8",100,100,23941
Colorado (RS),"12,9","13,8","5,7",100,"51,3","1678,55","18,13","97,35",0,"80,65","16,13","10,06","2,22","28,11","6,44","8,57","17,93","8,43",100,,,100,3478
Coluna (MG),"11,3","31,2",5,"77,89","66,2","829,14","159,46","172,64","18,18","88,18",10,"5,79",3,"48,76","13,73","39,49","70,16","39,74",100,,,100,9146
Combinado (TO),"10,6","15,5","5,1",100,"75,7","903,43","141,07","162,45","28,17","71,83","2,82","4,31","2,7","16,13","10,22","7,85","57,69","42,48",100,,,100,4874
Comendador Gomes (MG),"12,6","23,1","5,2",100,"73,6","1003,35","142,49","38,9",,"66,67","22,22","4,78","0,81","14,91","4,01","46,28","71,39","32,55","91,96","99,25",100,"99,87",3138
Comendador Levy Gasparian (RJ),"31,2","45,2","5,3","84,59","56,7","1018,9","75,79","87,15","8,62","66,38","4,31","9,24",0,"10,13","4,16","37,34","53,07","16,2",,,,,8336
Comercinho (MG),"20,3","36,2","3,7","74,14","46,7","953,64","282,32","189,81",0,"81,67","6,67","6,32","0,86","26,49","10,63","62,46","75,79","32,53",100,"55,85",0,"67,73",7599
Comodoro (MT),"11,9","30,8","4,5","78,3","34,9","1329,84","99,63","149,75","12,89","61,6","6,19","5,77","7,89","44,87","16,17","32,2","60,91","86,33",100,,,100,19932
Conceição da Aparecida (MG),"4,3","11,7","5,4","48,05","68,4","1025,79","51,57","150,73",0,"86,84","7,89",8,0,"29,77","6,48","10,65","53,38","9,11","93,51","94,67",0,"94,67",10374
Conceição da Barra de Minas (MG),"8,5","13,8","4,8",100,"47,3","1023,75","81,26","75,82","34,48","65,52","6,9","9,14","0,56","18,13","3,51","10,34","71,17","9,96","91,54","55,54","93,81",100,4050
Conceição da Barra (ES),"17,7","30,1","4,4","96,39","62,3","1308,14","79,74","155,45","18,6","76,28","6,74","5,76","1,39","20,85","13,93","29,49","59,25","11,39","81,76","2,05",100,"99,78",31574
Conceição da Feira (BA),28,"50,2","2,9","66,45","26,6","903,26","213,7","114,72","22,42","61,88","5,83","5,78","0,36","14,24","10,34","44,93","77,62","10,06",100,"3,19",25,100,23024
Conceição das Alagoas (MG),"10,5",25,"4,8","98,79",58,"1706,68","35,64","140,77","8,38","78,21","7,26",6,"0,86","16,11","11,33","6,55","38,96","12,73","99,37","99,37",0,"98,76",26818
Conceição das Pedras (MG),"16,3","27,2","4,8",100,"54,7","968,41","74,39","85,22",0,"96,77","3,23","4,9","0,79","18,26","6,4","9,4","63,29","21,79","99,68","99,68",0,100,2858
Conceição de Ipanema (MG),"14,1",18,5,"84,68","66,1","1110,46","153,43","48,95",0,"87,88","3,03","9,04","0,62","21,09","6,32","48,92","92,99","14,84",100,100,0,"99,56",4644
Conceição de Macabu (RJ),"23,7","28,2","4,1","93,53","32,2","946,93","110,04","189,8","7,35","57,72","12,13","7,79","0,25","18,61","10,99","33,9","72,41","30,5",,,,100,22461
Conceição do Almeida (BA),"33,1","38,6","3,1","76,63","12,7","865,11","205,42","152,78","13,07","60,78","10,46","7,46","1,09","24,66","10,98","67,91","81,48","6,84",100,,,,18229
Conceição do Araguaia (PA),25,"45,5","3,4","80,31","62,8","1268,48","104,98","354,65","15,44","45,69","8,37","5,86","7,28","42,12","10,39","27,83","67,18","44,02","67,96",,,,46571
Conceição do Canindé (PI),"35,9","42,5","3,9","91,33","15,9","1124,19","334,37","29,27","12,99","89,61","9,09","6,56","1,41","17,65","16,69","52,86","78,28","85,65","94,71",,,,4726
Conceição do Castelo (ES),"24,4",20,5,100,"76,4","1061,2","72,5","63,58","5,78","65,9","8,09","5,56","2,58","22,46","11,51","24,5","59,99","46,45","93,91",,,"37,82",12944
Conceição do Coité (BA),"30,1","39,9","3,1","99,61","34,5","910,87","183,66","169,21","11,17","58,38","5,87","5,34","7,73","41,33","7,68","31,33","78,09","23,7","92,67","3,1",100,"97,65",68303
Conceição do Jacuípe (BA),"32,7","44,3","3,5","98,87","41,1","1035,16","158,22","156,87","5,51","75,76","5,79","6,02","0,07","15,28","7,96","56,48","81,26","10,26","62,06","5,47",100,"85,03",33876
Conceição do Lago-Açu (MA),"33,4","62,2","3,5","62,97","20,4","974,58","386,96","56,04","12,71","32,63","6,78","2,66","20,92","44,53","15,6","77,88","86,81","58,47","59,55",,,,16192
Conceição do Mato Dentro (MG),"14,7","36,5","3,6","90,69","60,8","2160,59","171,84","279,09","3,36","77,85","8,72","7,12","1,08","21,29","7,53","25,18","68,42","52,03","82,31","66,31","57,58","99,86",18126
Conceição do Pará (MG),"9,8","23,4","5,1","87,63","68,6","1614,61","49,47","83,85",0,"58,18","7,27","6,35",2,"19,23","6,95","18,44","52,57","34,72",100,"79,57",0,100,5515
Conceição do Rio Verde (MG),"12,3","24,8","4,1","98,01","67,7","860,28","73,34","206,48","6,17","77,16","11,11","7,29",0,"27,91","13,88","18,07","54,13","11,14","87,79","94,73",0,100,13724
Conceição dos Ouros (MG),"12,4","26,9","5,2",100,"70,9","943,37","40,57","105,11","32,52","76,42","11,38","7,76","0,27","13,86","7,16","8,77","44,35","17,94",100,100,0,100,11467
Conceição do Tocantins (TO),"33,5",47,"3,5","98,08","65,2","874,69","194,74","172,97","66,67","63,33","6,67","5,26",0,"10,64","14,99","37,95","68,32","75,24",100,,,,4179
Conceição (PB),"23,2","36,2","3,2","83,9",25,"887,57","259,17","261,16","27,03","70,27","8,56","6,07","8,05","31,76","17,56","40,35","83,61","79,26",100,,,"66,09",18944
Conchal (SP),"6,1",8,"5,5",100,"77,6","1254,11","73,21","134,75","12,2","89,76","6,34","6,57","0,98","24,02","8,88","12,94","66,46","16,16","99,94","99,98","84,55",100,27554
Conchas (SP),"4,4","14,4","4,9","67,84","63,3","1153,51","61,14","113,29","9,62","85,58","11,54","9,58",1,"19,07","5,91","21,27","56,9","9,61","89,02","83,86",100,"90,97",17638
Concórdia do Pará (PA),"40,9","66,3","2,9","56,86","42,2","1299,39","236,46","132,6","12,05","28,11","8,43","3,74","7,98","35,02","13,1",61,"87,35","60,33",,,,85,32395
Concórdia (SC),"8,3","16,3","5,6","98,9","70,2","1527,66","15,16","123,15","11,5","86,02","11,5","6,11","0,69","13,72","8,73","11,46","41,11","39,99",100,"6,49",100,"97,88",73766
Condado (PB),"24,8","23,6","3,9","96,76","52,8","1068,81","334,14","89,02","11,76","84,71","8,24","12,14","3,95","20,8","14,72","77,71","82,85","68,91",100,,,,6753
Condado (PE),26,"37,2","3,5","93,55","35,2","1140,92","172,13","234,23",0,"62,35","7,06","6,84","1,93","17,56","13,84","40,15","69,91","8,97","54,72",,,"98,31",26186
Conde (BA),"42,4","61,5","3,4","54,83","32,7","1462,45","219,8","179,62","19,34","51,93","6,35","4,66","1,04","17,43","15,81","74,36","87,78","53,29",100,,,"96,02",26371
Conde (PB),29,"54,8","2,5","63,65",63,"1156,14","286,43","116,36","24,61","68,01","6,71","6,22","1,09","13,85","12,95","68,17","89,06","27,17","82,39",,,"95,42",24769
Condeúba (BA),"27,8","48,1","4,3","86,73","38,5","948,97","231,64","259,46","11,17","76,54","9,5","7,2","0,51","32,2","10,63","50,71","72,08","54,57",100,,,,18191
Condor (RS),"15,9","27,3","4,9",100,"50,1","1472,83","49,21",107,0,"70,73","9,76","7,02","0,95","27,73","6,58","25,62","53,68","8,79",100,,,100,6836
Cônego Marinho (MG),10,"30,8",4,"68,43","59,7","784,04","345,68","70,52",0,"73,03","8,99","5,64",0,"15,75","9,09","72,37","80,45","93,97",100,,,100,7624
Confins (MG),"12,9","23,6","4,2",100,"74,2","2413,86","40,07","36,77","21,28","64,89","7,45","5,9",0,"9,85","8,22","17,64","36,87","36,86","96,14",0,100,,6608
Confresa (MT),"7,4","24,4","4,7","87,65","45,5","1329,22","142,34","145,14","11,49","71,26","5,75","3,53","1,24","17,16","10,36","23,67","71,53","50,11",100,"53,5",100,,29471
Congonhal (MG),"7,6","23,5","4,9",100,"63,8","1004,69","54,88","163,47",0,"62,5","8,93","7,43","0,43","12,93","8,36","25,06","54,39","13,22","96,92","96,63",0,"92,25",11706
Congonhas do Norte (MG),"16,3","25,1","3,9","88,09","77,9","973,66","199,25","57,86","14,93","76,12","8,96","7,79","1,02","15,77","17,12","50,2","66,4","54,59",100,"65,05",0,100,5134
Congonhas (MG),"13,3","27,5","4,7",100,"76,9","1649,5","23,71","82,14","16,88","87,92","9,87","6,43","0,57","26,61","4,17","7,6","35,94","30,56","80,49","66,22",0,"92,44",53843
Congonhinhas (PR),"14,9","34,7","4,1","98,1","62,5","1114,08","76,93","140,64","36,5","87,59","11,68","8,73","1,65","18,05","8,91","19,01","50,72","15,57",100,,,"96,7",8821
Congo (PB),"30,8","38,9","4,7","83,6","54,5","799,81","283,17","133,86","12,05","81,93","7,23","9,4","6,32","35,03","10,63","49,95","71,16","73,12",100,,,"99,93",4789
Conquista D'Oeste (MT),"15,2","37,6","5,8",100,"28,7","1385,9","72,53","93,15",0,"74,14","10,34","3,63",0,"16,15","13,52","23,49","62,92","85,54","98,33",,,100,3860
Conquista (MG),"22,4","40,2","4,1","99,41","64,1","1607,9","62,49","110,42","35,09","77,19","10,53","8,48","0,61","34,65","7,35","34,76","64,5","18,37","90,33","79,61",100,100,6960
Conselheiro Lafaiete (MG),"15,3","31,4","4,7","99,48","69,9","1116,37","14,69","103,15","15,69","76,06","8,25","7,04","5,16","34,21","4,45",6,"34,34","16,62","89,84","78,66","41,45",100,127369
Conselheiro Mairinck (PR),"10,3","22,5","4,3",100,"84,2","1083,21","78,61","95,82","17,86","78,57","5,36","7,5",0,"21,58","9,34","17,23","43,57","7,05",100,"92,93",100,100,3866
Conselheiro Pena (MG),"10,7","29,4","4,7","86,67","56,8","1202,63","96,01","305,28","7,25","71,74","7,97","7,14","14,81","30,07","13,13","33,5","76,1","6,79",100,100,"4,11",100,23240
Consolação (MG),"4,6","15,1","4,9",100,"60,8","1204,2","123,94","34,55",0,"81,48","11,11","7,73","1,33","37,5","6,4","28,46","70,54","8,83","99,9","99,9",0,100,1810
Constantina (RS),13,"27,8",5,"99,38","62,2","1096,64","49,02","88,9",24,"84,8","12,8","8,61","3,82","28,48","10,1","23,05","57,56","11,58",100,,,100,10109
Contagem (MG),11,"28,4","4,3",100,"75,8","1522,18","46,5","100,36","9,99","72,05","10,34","5,28","0,55","15,21","6,87","21,03","61,78","28,61","88,49","80,43","95,74",100,658580
Contenda (PR),"16,5","22,4","4,4","99,84","81,2","1444,94","20,93","92,74","4,15","85,48","11,2","7,46","0,42","16,02","5,71","5,55","31,47","31,14",100,"86,15",100,100,17961
Contendas do Sincorá (BA),"30,9","54,9","3,5","87,35","71,2","938,44","235,42","210,11","29,41","55,88","11,76","7,44","0,78","16,36","13,81","25,81","72,05","62,03",100,,,100,4299
Coqueiral (MG),"10,1","31,1","4,4","97,77","68,2","801,02","87,11","121,14",0,84,14,"7,1",0,"15,3","6,14","12,21","49,18","7,25","98,49","98,49",40,100,9432
Coqueiro Baixo (RS),"9,9","17,4","6,4",100,"45,4","1487,05","4,94","69,05","285,71",100,"28,57","12,83","3,09","30,57","7,94","1,32","6,83","69,44",100,,,100,1559
Coqueiros do Sul (RS),"12,3",19,"3,9",100,"55,3","1479,54","34,47","24,47",0,"66,67","3,7","11,39","0,37","20,87","4,59","16,31","46,57","18,57",100,,,100,2458
Coqueiro Seco (AL),"39,2","29,8","3,8",100,"44,6","1063,54","169,87","243,78",0,"60,92","5,75","5,07","2,75","20,08","14,52","20,52","74,51","24,53","69,66",,,,5918
Coração de Jesus (MG),"4,7","16,8","4,4","97,19","66,9","842,14","198,91","251,9","15,33","50,19","6,13","6,36","0,52","24,74","8,73","54,76","78,6","54,19","67,39","29,96",100,70,27052
Coração de Maria (BA),"35,5","49,6",3,"76,49","41,2","875,47","311,92","106,7","3,73","81,72","6,72","7,16","2,29","17,57","9,18","73,34","91,56","6,34",100,,,,23896
Corbélia (PR),"7,5","20,5","5,1","95,36","70,7","1244,97","19,23","185,95","3,89","84,82","8,56","7,33","3,55","20,34","10,34","3,03","24,55","14,07",100,"54,74",100,100,17193
Cordeirópolis (SP),"10,4","13,1",5,"72,87","72,5","1860,74","22,55","69,05","3,55","82,62","6,38","5,97","0,27","11,69","8,66","8,99","47,62","5,03",100,100,0,100,23793
Cordeiro (RJ),"20,7","27,7",5,"99,66","43,8","1068,44","38,37","145,97","18,05","66,79","10,11","7,58","3,04","30,49","5,56","18,84","56,42","19,07","97,67","46,85","87,54",100,21250
Cordeiros (BA),"21,8","34,3","4,8","96,21","48,8","868,74","156,75","133,25","12,5","81,25","3,75","6,18","0,25","34,69","15,07","42,77","64,5","47,32",100,,,100,8904
Cordilheira Alta (SC),"6,9","14,1","5,1",100,"75,1","1541,78","19,44","26,16","14,93","85,07","19,4","8,56","0,63","11,3","10,16","9,62","38,3","37,31","96,93","42,75","92,86","75,26",4321
Cordisburgo (MG),"5,7","19,6","4,8","97,51",73,946,"89,76","176,83",0,"72,55","19,61","5,87","0,52","21,9","12,46","24,49","63,44","40,56","92,11","44,91",100,100,9029
Cordislândia (MG),"11,1","44,8","4,3",100,36,"880,37","140,82","176,89","25,64","69,23","12,82","8,64","2,65","29,24","7,43","26,98","68,65","8,72","88,36",100,0,100,3587
Coreaú (CE),"4,4","22,1","5,4","97,01","29,4","876,42","223,28","190,08","22,39","79,48","8,21","6,45","2,68","19,47","21,52","63,55","78,98","86,39","69,72","15,35",100,,23107
Coremas (PB),"31,2","33,6","3,1","57,97","42,1","1089,66","350,05","156,44","9,52","59,05","5,24","7,33","7,85","24,42","17,29","88,35","87,07","60,2",,,,,15426
Corguinho (MS),"35,3",36,"4,6",100,"65,1","1050,29","75,15","83,86","46,51","62,79","13,95","4,71","1,96","15,38","10,6","15,91","59,33","38,72",100,"54,4",100,100,5730
Coribe (BA),"24,7","42,1","4,2","95,31","43,7","1041,69","334,89","174,05","5,95",75,"9,52","5,29","4,01","47,62","17,57","14,64","73,49","72,55","98,91",,,100,14933
Corinto (MG),"8,2","24,8","4,3",100,"65,8","962,3","98,33","398,56","26,23","63,28","10,49","7,92","0,43","10,52","7,1","23,56","68,38","38,49","84,99","61,17",100,,24384
Cornélio Procópio (PR),"11,3","21,5","4,7",100,"74,4","1282,45","17,51","137,64","11,63","90,89","8,53","8,07","2,55","32,8","6,35","5,74","35,06","12,44",100,100,100,100,48677
Coroaci (MG),"14,3","45,7","4,4","56,61","39,9","885,59","140,96",161,"16,39","68,85","8,2","7,74",0,"20,16","8,6","21,21","65,32","28,37","95,4",,,,10339
Coroados (SP),"6,2","7,7","5,2",100,91,"1246,42","55,23","82,85","13,89","84,72","11,11","5,78","0,87","16,05","8,29","12,33","34,58","4,35",100,100,100,,5885
Coroatá (MA),"16,7","33,3","3,6","48,42","41,8","1026,69","258,95","305,08","12,73","45,45","6,82","5,93","0,37","7,63","16,85","73,7","87,18","67,1","97,87",,,,64403
Coromandel (MG),"4,3","16,5","5,5","97,91","67,1","1110,1","40,11","226,35","12,35","89,2","7,72","7,65","2,02","21,76","7,6","7,06","57,23","40,06","87,13","75,5",0,100,28508
Coronel Barros (RS),"11,7","38,3","5,3",100,"79,5","1601,62","27,47","40,66",0,"81,08","13,51","8,21","2,44","12,58","4,63","25,93","49,67","7,15",,,,,2559
Coronel Bicaco (RS),"22,9","38,8","3,8",100,"38,6","1247,8","166,52","139,86","11,11","76,67",10,"7,84","2,49","32,53","4,87","60,76","81,6","5,7",100,,,,7776
Coronel Domingos Soares (PR),"17,5","26,6","4,9","80,38","57,9","1097,95","69,92","93,63",0,"82,08","10,38","5,43","2,33","28,9","5,93","19,86","58,73","51,03",100,,,,7547
Coronel Ezequiel (RN),"30,9","56,9","2,9","96,95","51,8","900,11","306,76","56,02",0,"90,14","5,63","6,97",0,"7,8","15,34","67,29","79,48","75,07",100,,,,5593
Coronel Fabriciano (MG),"7,7","23,3","4,8","99,19","73,2","1091,18","53,42","151,95","9,8","76,56","8,97","6,11","0,99","22,65","6,53","25,13","51,92","29,26","80,77","76,79",0,100,110326
Coronel Freitas (SC),"7,9","26,7","5,1",100,"74,3","1271,77","19,41","76,13","27,52","65,14","11,01","7,7","0,78","26,82","10,57","7,13","46,25","22,46",100,,,,10130
Coronel João Pessoa (RN),"29,5","37,1","3,1","94,54","45,8","1152,76","237,84","86,95",0,"88,46","7,69","8,03","20,09","30,95","24,62","51,11","65,46","67,77","55,29",,,,4980
Coronel João Sá (BA),"33,6",53,"2,5","71,65","41,9","1161,81","351,67","98,43","5,21","56,77","7,81","5,47","8,28",25,"21,92","65,43","92,23","31,84",100,,,,16814
Coronel José Dias (PI),"45,3","53,6","3,4","60,61","29,9","952,56","434,9","80,91","40,82","55,1","10,2","7,16","4,63","39,86","11,6","66,05","87,81","85,59","96,43",,,"33,05",4608
Coronel Macedo (SP),"5,9","15,8","5,4",100,"74,5","901,81","72,55","222,51",0,"82,35","7,84","5,99","1,02","25,27","8,09","7,73","47,42","10,67",100,"96,39",100,100,4840
Coronel Martins (SC),"6,7","10,5","5,3",100,"80,4","1392,5","43,34","60,18",0,"88,24","2,94","4,71","3,95","24,76","8,96","11,9","42,82","20,93",100,"16,9",100,100,2548
Coronel Murta (MG),"4,7","29,1","4,2","96,12","49,7","850,52","211,44","76,59","29,13","63,11","4,85","5,63","2,4","18,37","13,64","56,49","71,94","46,2","74,84","47,5","95,39",100,9411
Coronel Pacheco (MG),"20,3","39,4","4,5",100,"79,7","1016,05","87,65","156,26",0,"83,33",10,"6,72","0,96","23,73","8,99","48,94","60,78","15,87","99,73","99,73",0,100,3125
Coronel Pilar (RS),"8,9","8,5",,100,"38,5",1817,"4,78","16,7",,75,,"9,26","0,68","17,61",,"8,82","67,65","69,21",100,100,0,100,1728
Coronel Sapucaia (MS),"33,8","43,8",4,100,"59,3","966,92","215,7","335,37","18,29","43,6","8,84","5,99","4,5","30,28","16,2","48,11","75,22","7,96","99,17","39,21",100,,15016
Coronel Vivida (PR),"6,6","11,1","4,8","98,4","81,8",1334,"27,54","118,99","9,01","90,69","10,81","6,83",2,"22,03","9,58","6,53",46,"19,29",100,"48,09",100,,21666
Coronel Xavier Chaves (MG),"13,5","26,1","5,4",100,"80,4","1013,28","45,9","51,88",0,"66,67","3,7","4,61","1,98","27,42","5,06","9,29","37,39","11,31","96,41",100,0,100,3471
Córrego Danta (MG),"12,2","30,9","4,6",100,"42,6","954,81","44,93","90,41",,70,20,"7,14",0,"33,8","7,51","4,32","35,79","49,1","93,96","96,71",0,100,3359
