Territorialidades,Taxa de Distorção Idade-Série no fundamental 2017,Taxa de Distorção Idade-Série no médio 2017,IDEB anos finais do ensino fundamental 2017,% de alunos do ensino fundamental em escolas com internet 2017,% de docentes do fundamental com formação adequada 2017,Rendimento médio no setor formal 2017,Transferência per capita do Bolsa Família 2017,Transferência per capita do Benefício de Prestação Continuada 2017,Taxa de mortalidade infantil 2017,% de nascidos vivos com pelo menos sete consultas de pré-natal 2017,% de nascidos vivos com baixo peso ao nascer 2017,Taxa bruta de mortalidade 2017,% de internações por doenças relacionadas ao saneamento ambiental inadequado 2017,% de internações por condições sensíveis à atenção primária 2017,% de analfabetos com 15 anos ou mais de idade no Cadastro Único 2017,% de extremamente pobres no Cadastro Único pós Bolsa Família 2017,% de pessoas inscritas no Cadastro Único que recebem Bolsa Família 2017,% de cobertura vegetal natural 2017,% da população urbana residente em domicílios ligados à rede de abastecimento de água 2017,% da população urbana residente em domicílios ligados à rede de esgotamento sanitário 2017,% de esgoto tratado 2017,% da população urbana atendida por serviços regulares de coleta de resíduos domiciliares 2017,População total 2017
Chapada (RS),"12,3","24,9","4,6",100,"48,1","1237,97","22,13","68,3","14,71","94,12","11,76","8,23","8,75","26,43","6,05","6,43","20,26","6,68","97,35",,,"90,29",9597
Chapadinha (MA),"21,3","31,3","3,5","64,14","25,4","993,42","335,85","218,27","17,69","42,86","7,69","5,22","4,71","27,27","15,92","83,66","85,63","94,13","56,76",,,,78965
Chapecó (SC),"8,7","20,4","5,2","99,84","70,1","1671,45","15,35","92,45","11,09","81,57","8,53","4,44","0,26","9,88","9,83","8,34","49,45","29,29","98,06","37,08",100,100,213279
Chã Preta (AL),"30,7","28,2","3,5","90,41","53,4","1068,02","340,6","100,89","18,18","61,82","8,18","5,39","0,67","16,16","17,95","63,19","87,63","9,37",,,,,7427
Charqueada (SP),"7,5","13,1","5,5",100,"86,7","1506,17","55,01","75,28","19,42","74,27","6,8","6,32","0,87","19,34","9,61","40,73","62,97","9,12",100,"85,79","96,22","97,92",16772
Charqueadas (RS),"23,2","31,7",4,"99,43","59,5","1641,12","32,98","86,45","5,45","83,38","6,81","6,25","1,4","20,55","6,49","27,91","50,29","31,09",100,,,100,38899
Charrua (RS),"46,9","39,5",,100,"50,6","1427,26","106,93","26,25",0,"65,52","17,24","7,18","2,54","15,18","7,83","50,48","68,22","30,08",100,,,"98,98",3482
Chaval (CE),"18,1","36,2","4,6","86,64","35,1","445,75","326,44","273,12","4,95","54,46","2,97","7,03","1,88","26,36","20,81","68,42","79,05","83,43","77,44",,,100,12952
Chavantes (SP),7,"13,3","4,5","81,99",76,"1675,41","56,9","116,5","5,29","88,89","13,23","8,73","6,72","40,59","8,68","17,77","52,66","7,07",100,"89,96",100,100,12487
Chaves (PA),"51,7","63,9","3,1","18,67","42,7","1113,01","282,63","9,78","5,38","10,22","5,91","1,3","12,99","31,45","13,75","28,8","90,92","67,53",,,,,23066
Chiador (MG),"28,4","48,1","3,7",100,"44,9","912,39","140,38","42,48","41,67","66,67",,"9,68","1,23","21,94","5,78","73,76","73,65","19,65","94,09","94,09","0,29",100,2789
Chiapetta (RS),"14,7","27,8","4,3",100,"73,9","1273,3","78,57","133,69",0,"86,44","6,78","7,7","0,61","20,54",9,"15,83","57,87","12,65",100,,,"98,9",4026
Chopinzinho (PR),"8,5","23,3","5,2","97,16","71,8","1290,09","61,46","114,79","13,89","89,93","6,25","6,78","6,17","30,01","7,09","31,49","51,31","23,66",100,"91,89",100,"94,82",19911
Choró (CE),"13,2","28,8","4,4","77,83","31,6","1127,17","231,31","145,41","5,68","60,8","4,55","5,53","3,15","16,44","17,77","66,78","76,5","89,56","72,54",,,"96,18",13384
Chorozinho (CE),"24,4","36,2","4,6","91,28","38,1","1010,98","224,75","121,14","8,51","65,96","5,96","8,02","2,91","22,76","16,94","40,59","72,27","39,73","56,67",,,"98,31",19197
Chorrochó (BA),"27,7","44,6","3,8","75,66","24,4","1259,12","336,49","114,71","27,62","73,48","6,63","6,3","0,67","7,44","10,03","82,41","87,73","68,51",100,0,100,100,11591
Chuí (RS),"18,4","51,5",,100,"63,2","1072,42","50,23","414,16",0,"66,67","7,14","4,18",0,"22,64","4,57","29,55","59,41","22,36",100,,,,6456
Chupinguaia (RO),"18,4","41,4","4,3","85,93","42,6","1158,57","80,92","71,02","11,83","69,82","6,51","3,02","0,82","13,47","10,95","25,24","65,12","47,7",0,,,100,10593
Chuvisca (RS),"20,4","19,6","4,9",100,"52,5","1322,87","67,3","58,45","61,22","67,35","12,24","5,45",0,"7,69","9,43","19,68","61,43","58,9","99,66",,,"99,32",5319
Cianorte (PR),"9,2","20,8",5,100,"77,7","1344,83","15,39","141,59","8,9","94,31","6,49","5,64","0,84","11,89","7,49","8,8","32,61","13,3",100,"73,09",100,100,79571
Cícero Dantas (BA),"42,7","40,5",,"78,42","17,4","1165,96","172,72","192,83","19,55","57,54","7,26","6,11","3,79","23,39","18,67","49,05","79,9","36,53",100,"63,06",0,"76,2",34676
Cidade Gaúcha (PR),"13,7","25,3","4,2",100,"82,1","1187,3","39,64","84,7","6,76","85,14","7,43","6,98","7,39","34,6","10,48","15,49","53,63","7,12",100,100,100,,12326
